"panel","strain","chr","from","to"
"BXD","BXD22.Q08B4056","3",101914953,104862463
"BXD","BXD22.Q08B4056","3",107244558,108811395
"BXD","BXD22.Q08B4056","3",128574389,128735557
"BXD","BXD22.Q08B4056","3",148673153,148683623
"BXD","BXD22.Q08B4056","4",5526216,6301847
"BXD","BXD22.Q08B4056","4",66119435,69716146
"BXD","BXD22.Q08B4056","4",81505762,81602593
"BXD","BXD22.Q08B4056","4",119911261,119930528
"BXD","BXD22.Q08B4056","4",153696943,153700857
"BXD","BXD22.Q08B4056","5",5365278,5401888
"BXD","BXD22.Q08B4056","5",23868745,23876829
"BXD","BXD22.Q08B4056","5",137833089,138337847
"BXD","BXD22.Q08B4056","6",99023850,100098188
"BXD","BXD22.Q08B4056","7",38708932,47149765
"BXD","BXD22.Q08B4056","7",96521483,96752047
"BXD","BXD22.Q08B4056","7",119956704,120004841
"BXD","BXD22.Q08B4056","7",127394843,136179207
"BXD","BXD22.Q08B4056","8",39055233,39075902
"BXD","BXD22.Q08B4056","8",42463227,44456509
"BXD","BXD22.Q08B4056","8",63889001,63955779
"BXD","BXD22.Q08B4056","8",71265481,71324503
"BXD","BXD22.Q08B4056","8",90455621,90841593
"BXD","BXD22.Q08B4056","8",120904597,125813824
"BXD","BXD22.Q08B4056","9",13421851,14214884
"BXD","BXD22.Q08B4056","9",40859462,40893488
"BXD","BXD22.Q08B4056","9",64528477,64875190
"BXD","BXD22.Q08B4056","X",132791936,132824800
"BXD","BxD23.TyJ","1",69343608,69358007
"BXD","BxD23.TyJ","1",170082270,172465413
"BXD","BxD23.TyJ","1",185398359,185404457
"BXD","BxD23.TyJ","10",13398988,13418517
"BXD","BxD23.TyJ","10",20569042,27299375
"BXD","BxD23.TyJ","11",10989714,11028559
"BXD","BxD23.TyJ","11",22825179,22928397
"BXD","BxD23.TyJ","12",78191592,81069516
"BXD","BxD23.TyJ","12",85117958,86264365
"BXD","BxD23.TyJ","12",99208163,100767827
"BXD","BxD23.TyJ","13",37411890,39401123
"BXD","BxD23.TyJ","13",59808651,63061924
"BXD","BxD23.TyJ","13",81309324,81950947
"BXD","BxD23.TyJ","13",83803694,83807720
"BXD","BxD23.TyJ","14",78441116,78691560
"BXD","BxD23.TyJ","16",41339264,41429209
"BXD","BxD23.TyJ","16",73451699,73593472
"BXD","BxD23.TyJ","16",88567823,88603133
"BXD","BxD23.TyJ","16",94054465,95751361
"BXD","BxD23.TyJ","17",52838736,52930327
"BXD","BxD23.TyJ","17",81463231,81590303
"BXD","BxD23.TyJ","18",56192881,56246810
"BXD","BxD23.TyJ","18",75786276,75828008
"BXD","BxD23.TyJ","19",16526527,16582548
"BXD","BxD23.TyJ","19",27606069,30053910
"BXD","BxD23.TyJ","2",28825301,29356173
"BXD","BxD23.TyJ","2",34802582,34863543
"BXD","BxD23.TyJ","2",44194738,44198421
"BXD","BxD23.TyJ","2",70614312,73133185
"BXD","BxD23.TyJ","2",76329795,79182583
"BXD","BxD23.TyJ","3",123096923,125310864
"BXD","BxD23.TyJ","3",138679905,138712135
"BXD","BxD23.TyJ","4",88470129,88568734
"BXD","BxD23.TyJ","4",142563849,142590891
"BXD","BxD23.TyJ","5",41772392,41778170
"BXD","BxD23.TyJ","5",42561401,42589862
"BXD","BxD23.TyJ","5",53257267,53282001
"BXD","BxD23.TyJ","5",76230237,76254714
"BXD","BxD23.TyJ","5",145121615,145157869
"BXD","BxD23.TyJ","6",40029338,43830054
"BXD","BxD23.TyJ","6",140119514,143881207
"BXD","BxD23.TyJ","7",37154369,37279822
"BXD","BxD23.TyJ","7",47751683,47755934
"BXD","BxD23.TyJ","7",141367748,142031772
"BXD","BxD23.TyJ","7",142793403,143582074
"BXD","BxD23.TyJ","7",144966455,145055383
"BXD","BxD23.TyJ","9",70982105,71252278
"BXD","BxD23.TyJ","9",107595067,107624400
"BXD","BxD23.TyJ","9",113014793,113089283
"BXD","BxD23.TyJ","9",115433907,116464889
"BXD","BxD23.TyJ","X",41678629,44785211
"BXD","BxD23.TyJ","X",48083715,48727932
"BXD","BxD23.TyJ","X",57509820,61414281
"BXD","BxD23.TyJ","X",68285288,68420773
"BXD","BxD23.TyJ","X",160752530,160856143
"BXD","BXD24","1",80206427,80235288
"BXD","BXD24","10",28439199,28474733
"BXD","BXD24","10",30745556,32977670
"BXD","BXD24","10",46609117,56034585
"BXD","BXD24","11",35773854,35860116
"BXD","BXD24","11",90435469,90472562
"BXD","BXD24","12",87446649,88249950
"BXD","BXD24","12",95616425,97343221
"BXD","BXD24","13",54715399,54946285
"BXD","BXD24","14",10362160,10379189
"BXD","BXD24","14",20238816,20566966
"BXD","BXD24","14",81342061,81372130
"BXD","BXD24","14",83530090,83730831
"BXD","BXD24","14",103950791,103970107
"BXD","BXD24","15",86802942,86809411
"BXD","BXD24","15",97494058,97508230
"BXD","BXD24","16",93673144,93728444
"BXD","BXD24","17",88243205,89889852
"BXD","BXD24","18",34174404,34329222
"BXD","BXD24","18",65334620,65704452
"BXD","BXD24","18",82547161,84686236
"BXD","BXD24","19",15627261,15846580
"BXD","BXD24","2",11707493,13129405
"BXD","BXD24","2",13521716,14316677
"BXD","BXD24","2",62471097,62490364
"BXD","BXD24","2",67537731,67616870
"BXD","BXD24","2",158931866,159277409
"BXD","BXD24","4",9075277,9183050
"BXD","BXD24","4",13824249,15192174
"BXD","BXD24","4",95657483,96563853
"BXD","BXD24","5",24503931,24549627
"BXD","BXD24","6",15371103,16009390
"BXD","BXD24","6",18349978,23192012
"BXD","BXD24","6",34438085,34460553
"BXD","BXD24","6",40029338,43830054
"BXD","BXD24","6",66357521,68900982
"BXD","BXD24","6",140119514,143881207
"BXD","BXD24","7",94967804,95193379
"BXD","BXD24","7",114793068,118823605
"BXD","BXD24","9",54586110,54742459
"BXD","BXD24","9",120806601,120896340
"BXD","BXD24","X",12248682,36252885
"BXD","BXD24","X",128384840,130040292
"BXD","BXD25","1",100401354,100484422
"BXD","BXD25","1",141934732,147048800
"BXD","BXD25","1",187611482,187637065
"BXD","BXD25","10",35917847,40666219
"BXD","BXD25","10",82203944,82217534
"BXD","BXD25","11",109280149,111022476
"BXD","BXD25","12",48412292,54608156
"BXD","BXD25","12",113728491,113746647
"BXD","BXD25","13",71644563,73032631
"BXD","BXD25","14",63656964,63945283
"BXD","BXD25","14",118247912,118934754
"BXD","BXD25","15",25566156,25639039
"BXD","BXD25","15",55326291,62055347
"BXD","BXD25","15",63426026,64892361
"BXD","BXD25","15",82777439,82867792
"BXD","BXD25","15",98880702,100462521
"BXD","BXD25","16",97483134,97589755
"BXD","BXD25","17",16459633,16480304
"BXD","BXD25","17",53652300,53750519
"BXD","BXD25","17",79936160,81357693
"BXD","BXD25","2",52162188,52254761
"BXD","BXD25","2",66811597,66874514
"BXD","BXD25","2",69447536,69494911
"BXD","BXD25","2",106294450,106505491
"BXD","BXD25","2",112098867,112114676
"BXD","BXD25","2",131942989,134626703
"BXD","BXD25","2",164070176,164100802
"BXD","BXD25","3",50960940,52857203
"BXD","BXD25","4",134137318,135185485
"BXD","BXD25","5",119257657,119384570
"BXD","BXD25","5",141492384,141698102
"BXD","BXD25","6",34589764,36467213
"BXD","BXD25","6",80236331,85468323
"BXD","BXD25","6",99023850,100098188
"BXD","BXD25","6",138685608,138720820
"BXD","BXD25","6",140119514,143881207
"BXD","BXD25","7",37154369,37279822
"BXD","BXD25","7",121750044,121851008
"BXD","BXD25","7",126646271,126656946
"BXD","BXD25","7",136179209,136720691
"BXD","BXD25","7",143959825,144005831
"BXD","BXD25","8",105261895,105331576
"BXD","BXD25","9",114377916,115433905
"BXD","BXD25","X",36252887,41678627
"BXD","BXD25","X",66936692,66989590
"BXD","BXD25","X",128384840,130040292
"BXD","BXD27","1",21589917,21631120
"BXD","BXD27","1",25588284,25669735
"BXD","BXD27","1",42304398,42424439
"BXD","BXD27","1",80863580,82330311
"BXD","BXD27","1",122005313,122009487
"BXD","BXD27","10",68587850,68683907
"BXD","BXD27","10",120019633,120047036
"BXD","BXD27","11",8479600,8691645
"BXD","BXD27","11",46237727,47388818
"BXD","BXD27","11",89469504,89506621
"BXD","BXD27","11",96886980,97840225
"BXD","BXD27","11",116889359,117023348
"BXD","BXD27","12",114957292,115086113
"BXD","BXD27","13",20435408,20465950
"BXD","BXD27","13",114852359,116266180
"BXD","BXD27","14",108641676,109059067
"BXD","BXD27","15",86346626,86380869
"BXD","BXD27","15",87535277,87650336
"BXD","BXD27","16",19883173,21339076
"BXD","BXD27","16",61481787,61517624
"BXD","BXD27","16",69257481,69312720
"BXD","BXD27","17",31870305,31895361
"BXD","BXD27","18",24437531,24788395
"BXD","BXD27","19",26554768,27606067
"BXD","BXD27","19",47175999,47191088
"BXD","BXD27","19",48663023,48689838
"BXD","BXD27","19",56577715,56633561
"BXD","BXD27","19",61194448,61242939
"BXD","BXD27","2",91858210,93158026
"BXD","BXD27","3",65279591,65293220
"BXD","BXD27","3",144890607,144900301
"BXD","BXD27","3",155342118,155445672
"BXD","BXD27","4",5526216,6301847
"BXD","BXD27","4",23212065,29187596
"BXD","BXD27","4",40972608,41138848
"BXD","BXD27","4",41625581,41661978
"BXD","BXD27","4",62311191,62353375
"BXD","BXD27","4",128680368,129202095
"BXD","BXD27","4",142491697,142501905
"BXD","BXD27","4",148921779,149280336
"BXD","BXD27","4",155042666,155115905
"BXD","BXD27","5",27611829,29864034
"BXD","BXD27","5",42308372,42336588
"BXD","BXD27","5",45599614,45674421
"BXD","BXD27","5",76230237,76254714
"BXD","BXD27","5",90408074,90441751
"BXD","BXD27","6",14310523,15371101
"BXD","BXD27","6",16678133,16850540
"BXD","BXD27","6",115808150,115828865
"BXD","BXD27","6",137654236,138357664
"BXD","BXD27","7",31316196,31316870
"BXD","BXD27","7",38708932,47149765
"BXD","BXD27","7",127394843,136179207
"BXD","BXD27","8",89677635,89839513
"BXD","BXD27","9",107595067,107624400
"BXD","BXD27","9",111334000,111358448
"BXD","BXD27","X",12248682,36252885
"BXD","BXD27","X",49598796,50108038
"BXD","BXD27","X",128384840,130040292
"BXD","BxD28","1",13006965,13028328
"BXD","BxD28","1",35740531,35992274
"BXD","BxD28","1",39077592,39197264
"BXD","BxD28","1",42304398,42424439
"BXD","BxD28","1",130396726,130418003
"BXD","BxD28","1",130439905,130442880
"BXD","BxD28","1",185511485,185576251
"BXD","BxD28","11",72983871,73080738
"BXD","BxD28","12",31940483,34890142
"BXD","BxD28","12",36732632,37416420
"BXD","BxD28","12",48412292,54608156
"BXD","BxD28","13",23951433,27129018
"BXD","BxD28","13",71644563,73032631
"BXD","BxD28","13",81093406,81135521
"BXD","BxD28","13",117099041,117104213
"BXD","BxD28","15",97274798,97286047
"BXD","BxD28","16",6942592,6947264
"BXD","BxD28","16",7179681,7195799
"BXD","BxD28","16",12865959,13142434
"BXD","BxD28","16",89823112,89851533
"BXD","BxD28","18",11795714,13172301
"BXD","BxD28","19",4787558,4836041
"BXD","BxD28","19",44223056,44236905
"BXD","BxD28","19",52143293,52248366
"BXD","BxD28","2",99634632,99650573
"BXD","BxD28","2",131942989,134626703
"BXD","BxD28","2",165528842,165576578
"BXD","BxD28","3",26569807,26642663
"BXD","BxD28","4",76501993,78551559
"BXD","BxD28","4",99348682,102523624
"BXD","BxD28","4",107364266,107578163
"BXD","BxD28","5",22658495,22690552
"BXD","BxD28","5",78282386,78695884
"BXD","BxD28","6",33026837,34438083
"BXD","BxD28","6",37726443,37804984
"BXD","BxD28","6",60541374,61587592
"BXD","BxD28","7",17026264,17059753
"BXD","BxD28","7",26709111,27088275
"BXD","BxD28","7",31205554,31247461
"BXD","BxD28","7",53704985,56232434
"BXD","BxD28","7",95480607,95582517
"BXD","BxD28","7",124151625,124308076
"BXD","BxD28","7",140353571,141188624
"BXD","BxD28","8",95653531,96898188
"BXD","BxD28","8",105261895,105331576
"BXD","BxD28","9",35379591,35443044
"BXD","BxD28","9",45430290,45501401
"BXD","BxD28","X",70261116,70266342
"BXD","BxD28","X",90945247,98197449
"BXD","BxD29","1",73421439,73462406
"BXD","BxD29","1",110806508,110998831
"BXD","BxD29","1",172465415,172970024
"BXD","BxD29","1",175438632,175532995
"BXD","BxD29","11",29441767,29460799
"BXD","BxD29","11",29704618,30057048
"BXD","BxD29","11",98641150,98658420
"BXD","BxD29","11",103252505,103252595
"BXD","BxD29","11",106244293,106549473
"BXD","BxD29","12",36732632,37416420
"BXD","BxD29","12",78191592,81069516
"BXD","BxD29","13",27129020,30551797
"BXD","BxD29","14",105595190,105630786
"BXD","BxD29","14",106166794,106253111
"BXD","BxD29","15",93134855,93211440
"BXD","BxD29","19",20790161,21190564
"BXD","BxD29","19",33028937,35648430
"BXD","BxD29","2",8021040,11707491
"BXD","BxD29","2",70614312,73133185
"BXD","BxD29","2",158931866,159277409
"BXD","BxD29","3",35600784,36447577
"BXD","BxD29","4",50744573,50774665
"BXD","BxD29","4",51706844,52277763
"BXD","BxD29","4",91022017,94099079
"BXD","BxD29","4",125716289,125762192
"BXD","BxD29","5",4281119,4349482
"BXD","BxD29","5",18648052,20532161
"BXD","BxD29","5",69527300,72284496
"BXD","BxD29","5",115018919,115049333
"BXD","BxD29","6",92449013,92541105
"BXD","BxD29","6",99023850,100098188
"BXD","BxD29","6",113137865,113163878
"BXD","BxD29","7",37751750,38216956
"BXD","BxD29","7",47664882,47677004
"BXD","BxD29","7",114793068,118823605
"BXD","BxD29","8",46649264,58244117
"BXD","BxD29","8",99853974,99902730
"BXD","BxD29","9",85871607,85888953
"BXD","BxD29","X",131486919,132124051
"BXD","BxD29","X",150143068,158023554
"BXD","BxD31","1",89977223,89982569
"BXD","BxD31","1",95126973,95173370
"BXD","BxD31","10",115571079,116769446
"BXD","BxD31","10",118297731,118369160
"BXD","BxD31","10",118769148,118799728
"BXD","BxD31","11",59059452,61138928
"BXD","BxD31","11",63036769,63043491
"BXD","BxD31","11",69273094,69285310
"BXD","BxD31","12",13288268,14333464
"BXD","BxD31","12",30116377,30125080
"BXD","BxD31","12",97343223,99154244
"BXD","BxD31","12",106518366,106728042
"BXD","BxD31","13",45401041,45433846
"BXD","BxD31","13",67856888,67867673
"BXD","BxD31","13",71644563,73032631
"BXD","BxD31","14",65227276,65300510
"BXD","BxD31","14",120366386,120383494
"BXD","BxD31","15",45016290,45103193
"BXD","BxD31","15",95990202,96011495
"BXD","BxD31","16",21339078,21678472
"BXD","BxD31","16",36614226,37425937
"BXD","BxD31","16",96575693,96697040
"BXD","BxD31","17",76240730,76281801
"BXD","BxD31","18",39858347,39870812
"BXD","BxD31","18",45204050,45243412
"BXD","BxD31","18",58514874,58545959
"BXD","BxD31","18",74583200,74646811
"BXD","BxD31","18",76959452,77079108
"BXD","BxD31","19",7055260,7254968
"BXD","BxD31","19",15133260,15367006
"BXD","BxD31","19",27606069,30053910
"BXD","BxD31","19",30902736,32123866
"BXD","BxD31","2",75619332,75734404
"BXD","BxD31","2",127978408,127988307
"BXD","BxD31","3",37268506,37277904
"BXD","BxD31","5",97962502,97969821
"BXD","BxD31","5",120704838,123544726
"BXD","BxD31","5",128010274,128043247
"BXD","BxD31","6",133817533,133827985
"BXD","BxD31","7",73191759,73213111
"BXD","BxD31","7",81483063,81509637
"BXD","BxD31","7",111077750,111375342
"BXD","BxD31","7",127394843,136179207
"BXD","BxD31","8",93131610,93172236
"BXD","BxD31","8",113070879,113843238
"BXD","BxD31","8",126246926,126576711
"BXD","BxD31","9",106603531,107541580
"BXD","BxD31","9",116669447,119212344
"BXD","BxD31","X",68169133,68201672
"BXD","BxD32","1",45550547,45585260
"BXD","BxD32","1",155758867,155777627
"BXD","BxD32","1",160147982,160158235
"BXD","BxD32","10",115571079,116769446
"BXD","BxD32","10",120050074,120135353
"BXD","BxD32","13",71235850,71378175
"BXD","BxD32","13",71491310,71498352
"BXD","BxD32","14",91333112,94101064
"BXD","BxD32","15",81971950,82227105
"BXD","BxD32","16",34214746,34222573
"BXD","BxD32","16",36582066,36611866
"BXD","BxD32","16",89456195,89532172
"BXD","BxD32","17",50827925,50872669
"BXD","BxD32","17",53135964,53491590
"BXD","BxD32","19",7055260,7254968
"BXD","BxD32","19",25173686,25204720
"BXD","BxD32","2",59064472,60152327
"BXD","BxD32","2",70614312,73133185
"BXD","BxD32","2",122284501,122294907
"BXD","BxD32","2",131942989,134626703
"BXD","BxD32","3",118219209,118948000
"BXD","BxD32","4",33835025,34056894
"BXD","BxD32","4",104257943,104921312
"BXD","BxD32","6",12681596,12746974
"BXD","BxD32","6",37726443,37804984
"BXD","BxD32","6",89615028,90295022
"BXD","BxD32","6",94639613,94654036
"BXD","BxD32","6",122280472,122729123
"BXD","BxD32","6",140119514,143881207
"BXD","BxD32","9",25029974,29748080
"BXD","BxD32","9",70982105,71252278
"BXD","BxD32","9",98437721,98442068
"BXD","BxD33","1",9995927,10153072
"BXD","BxD33","1",89174216,89196647
"BXD","BxD33","1",117930808,117953317
"BXD","BxD33","1",170082270,172465413
"BXD","BxD33","10",59899201,66730213
"BXD","BxD33","10",86944081,87106143
"BXD","BxD33","12",48412292,54608156
"BXD","BxD33","12",86264367,87446647
"BXD","BxD33","13",22385487,23189085
"BXD","BxD33","14",71147084,71637411
"BXD","BxD33","15",11283443,12579903
"BXD","BxD33","15",95657841,95684532
"BXD","BxD33","16",19883173,21339076
"BXD","BxD33","17",49297339,49417902
"BXD","BxD33","17",71097737,71186553
"BXD","BxD33","17",86539391,86579736
"BXD","BxD33","19",14953285,14961764
"BXD","BxD33","2",6231208,7618046
"BXD","BxD33","2",17837133,17880482
"BXD","BxD33","2",25483901,25505074
"BXD","BxD33","3",36725461,36733722
"BXD","BxD33","3",55278439,55295751
"BXD","BxD33","3",77239548,77287287
"BXD","BxD33","4",99348682,102523624
"BXD","BxD33","4",107221546,107230551
"BXD","BxD33","4",108566209,108842370
"BXD","BxD33","4",142880135,142929875
"BXD","BxD33","5",104486088,104515279
"BXD","BxD33","5",120704838,123544726
"BXD","BxD33","5",133538655,136355064
"BXD","BxD33","6",32351934,32489323
"BXD","BxD33","6",77056069,77297874
"BXD","BxD33","6",94639613,94654036
"BXD","BxD33","6",148769565,149016661
"BXD","BxD33","7",31316196,31316870
"BXD","BxD33","7",63223126,63370417
"BXD","BxD33","8",45708319,46649262
"BXD","BxD33","8",72190015,72265162
"BXD","BxD33","8",90889942,90914681
"BXD","BxD33","8",116690998,116702928
"BXD","BxD33","9",14214886,22658504
"BXD","BxD33","9",25029974,29748080
"BXD","BxD33","9",59358968,59836467
"BXD","BxD33","9",81281344,81584622
"BXD","BxD34","1",59435977,60046977
"BXD","BxD34","1",186384310,186704248
"BXD","BxD34","10",14149766,14156220
"BXD","BxD34","11",8479600,8691645
"BXD","BxD34","11",20547225,20711370
"BXD","BxD34","11",83386081,83408239
"BXD","BxD34","11",98292341,98307589
"BXD","BxD34","12",65510649,66150758
"BXD","BxD34","13",45649417,45996845
"BXD","BxD34","13",53547634,54715397
"BXD","BxD34","13",73158074,75912685
"BXD","BxD34","13",84492346,84537304
"BXD","BxD34","14",37384222,40010048
"BXD","BxD34","14",83530090,83730831
"BXD","BxD34","15",4324785,7117979
"BXD","BxD34","15",39434819,41285074
"BXD","BxD34","15",41596408,41610079
"BXD","BxD34","16",29340271,31607998
"BXD","BxD34","16",63733397,63752713
"BXD","BxD34","17",72056204,72147413
"BXD","BxD34","18",73257443,73635022
"BXD","BxD34","18",75786276,75828008
"BXD","BxD34","18",85748050,85934473
"BXD","BxD34","19",11092512,11170616
"BXD","BxD34","19",48646964,48653109
"BXD","BxD34","2",13521716,14316677
"BXD","BxD34","2",33293595,33342546
"BXD","BxD34","2",41468331,41483052
"BXD","BxD34","3",19593564,20395956
"BXD","BxD34","4",40225499,40678623
"BXD","BxD34","4",121651873,122524386
"BXD","BxD34","5",30856013,32629169
"BXD","BxD34","5",80329046,81685658
"BXD","BxD34","5",100573541,100593260
"BXD","BxD34","5",102537262,103038213
"BXD","BxD34","5",107422627,107444905
"BXD","BxD34","5",128842311,130816391
"BXD","BxD34","6",18349978,23192012
"BXD","BxD34","6",80236331,85468323
"BXD","BxD34","6",104916742,105699089
"BXD","BxD34","6",129539496,129563879
"BXD","BxD34","7",94328348,94369840
"BXD","BxD34","7",114793068,118823605
"BXD","BxD34","7",121750044,121851008
"BXD","BxD34","7",122487274,122489682
"BXD","BxD34","7",126646271,126656946
"BXD","BxD34","8",109379454,109504195
"BXD","BxD34","8",120904597,125813824
"BXD","BxD36.TyJ","1",31274414,32113892
"BXD","BxD36.TyJ","1",39319108,40923738
"BXD","BxD36.TyJ","1",54535753,58081111
"BXD","BxD36.TyJ","1",80863580,82330311
"BXD","BxD36.TyJ","10",8541281,8777626
"BXD","BxD36.TyJ","10",121498880,122405637
"BXD","BxD36.TyJ","11",90435469,90472562
"BXD","BxD36.TyJ","11",101256866,101475307
"BXD","BxD36.TyJ","11",116889359,117023348
"BXD","BxD36.TyJ","12",82290404,82643704
"BXD","BxD36.TyJ","12",113773711,114388137
"BXD","BxD36.TyJ","14",49865077,49902859
"BXD","BxD36.TyJ","14",91333112,94101064
"BXD","BxD36.TyJ","14",97619204,97640599
"BXD","BxD36.TyJ","14",119580790,119751274
"BXD","BxD36.TyJ","15",4324785,7117979
"BXD","BxD36.TyJ","15",11283443,12579903
"BXD","BxD36.TyJ","15",45016290,45103193
"BXD","BxD36.TyJ","17",3650610,3691079
"BXD","BxD36.TyJ","17",9087889,9467308
"BXD","BxD36.TyJ","17",27585675,27603102
"BXD","BxD36.TyJ","18",27595373,30584152
"BXD","BxD36.TyJ","18",49526109,49616584
"BXD","BxD36.TyJ","18",56776576,56922937
"BXD","BxD36.TyJ","18",70196630,70535376
"BXD","BxD36.TyJ","19",6378272,6516096
"BXD","BxD36.TyJ","19",27606069,30053910
"BXD","BxD36.TyJ","19",48287265,48290410
"BXD","BxD36.TyJ","2",17837133,17880482
"BXD","BxD36.TyJ","2",29356175,29878250
"BXD","BxD36.TyJ","2",170233415,170729276
"BXD","BxD36.TyJ","3",148728334,148843251
"BXD","BxD36.TyJ","4",125041771,125174329
"BXD","BxD36.TyJ","4",131555158,131937020
"BXD","BxD36.TyJ","4",142880135,142929875
"BXD","BxD36.TyJ","4",149904120,150032038
"BXD","BxD36.TyJ","5",68073981,68130719
"BXD","BxD36.TyJ","5",76230237,76254714
"BXD","BxD36.TyJ","5",131086545,132505748
"BXD","BxD36.TyJ","6",62157603,63737053
"BXD","BxD36.TyJ","6",94809228,94960267
"BXD","BxD36.TyJ","6",111083889,111250224
"BXD","BxD36.TyJ","7",52340135,52372347
"BXD","BxD36.TyJ","9",68126763,68191984
"BXD","BXD38.R08L4198","1",178135394,180775868
"BXD","BXD38.R08L4198","10",102829740,102835412
"BXD","BXD38.R08L4198","10",120782546,120811126
"BXD","BXD38.R08L4198","11",13018248,13574420
"BXD","BXD38.R08L4198","11",14971670,16853389
"BXD","BXD38.R08L4198","11",63114485,64552416
"BXD","BXD38.R08L4198","11",116831245,116850139
"BXD","BXD38.R08L4198","12",36732632,37416420
"BXD","BXD38.R08L4198","14",107010896,107032573
"BXD","BXD38.R08L4198","14",112382825,113961575
"BXD","BXD38.R08L4198","15",28899199,28924539
"BXD","BXD38.R08L4198","15",86802942,86809411
"BXD","BXD38.R08L4198","16",26422256,27062966
"BXD","BXD38.R08L4198","16",45032084,45032981
"BXD","BXD38.R08L4198","17",76726769,76816780
"BXD","BXD38.R08L4198","17",79936160,81357693
"BXD","BXD38.R08L4198","18",78389639,81684595
"BXD","BXD38.R08L4198","2",69141261,69266177
"BXD","BXD38.R08L4198","2",180594141,180733186
"BXD","BXD38.R08L4198","3",144890607,144900301
"BXD","BXD38.R08L4198","4",49733457,49801481
"BXD","BXD38.R08L4198","4",121036610,121181904
"BXD","BXD38.R08L4198","4",142880135,142929875
"BXD","BXD38.R08L4198","5",25356858,27611827
"BXD","BXD38.R08L4198","5",81909579,82808101
"BXD","BXD38.R08L4198","5",131086545,132505748
"BXD","BXD38.R08L4198","6",10718648,10736283
"BXD","BXD38.R08L4198","6",11209413,11359407
"BXD","BXD38.R08L4198","6",23192014,24058036
"BXD","BXD38.R08L4198","6",32351934,32489323
"BXD","BXD38.R08L4198","6",111083889,111250224
"BXD","BXD38.R08L4198","6",122729125,123650315
"BXD","BXD38.R08L4198","6",140119514,143881207
"BXD","BXD38.R08L4198","7",19912811,20015305
"BXD","BXD38.R08L4198","7",35285529,35318804
"BXD","BXD38.R08L4198","7",35811329,35893828
"BXD","BXD38.R08L4198","7",62811310,62842124
"BXD","BXD38.R08L4198","7",114471563,114478859
"BXD","BXD38.R08L4198","8",18442016,18457811
"BXD","BXD38.R08L4198","8",46649264,58244117
"BXD","BXD38.R08L4198","8",66191377,66317434
"BXD","BXD38.R08L4198","8",130340663,130347711
"BXD","BXD38.R08L4198","8",130897215,130939218
"BXD","BXD38.R08L4198","9",25029974,29748080
"BXD","BXD38.R08L4198","9",99646118,99650744
"BXD","BxD39","10",84296661,84322909
"BXD","BxD39","10",108194132,109853750
"BXD","BxD39","10",121498880,122405637
"BXD","BxD39","10",122902271,122919010
"BXD","BxD39","11",48065800,50214873
"BXD","BxD39","11",58021512,58037106
"BXD","BxD39","12",77371283,77393800
"BXD","BxD39","12",83911345,83974582
"BXD","BxD39","13",96311328,96335712
"BXD","BxD39","16",21678474,23676895
"BXD","BxD39","16",67743705,67778559
"BXD","BxD39","16",73096968,73451697
"BXD","BxD39","17",9087889,9467308
"BXD","BxD39","17",31546581,31554703
"BXD","BxD39","17",40017130,40624780
"BXD","BxD39","17",44353968,44359554
"BXD","BxD39","18",58514874,58545959
"BXD","BxD39","18",82547161,84686236
"BXD","BxD39","19",56077550,56215061
"BXD","BxD39","2",74982289,75032991
"BXD","BxD39","2",97943610,98077435
"BXD","BxD39","3",28165871,28235060
"BXD","BxD39","3",50960940,52857203
"BXD","BxD39","3",125310866,125785850
"BXD","BxD39","4",13824249,15192174
"BXD","BxD39","4",54954892,54963872
"BXD","BxD39","5",13395582,13468932
"BXD","BxD39","5",55195252,55230119
"BXD","BxD39","6",122729125,123650315
"BXD","BxD39","7",19623602,19742478
"BXD","BxD39","7",35726107,35811327
"BXD","BxD39","7",37692371,37740837
"BXD","BxD39","7",122487274,122489682
"BXD","BxD39","7",136986832,140059092
"BXD","BxD39","7",146904915,148061081
"BXD","BxD39","8",31714177,31733297
"BXD","BxD39","8",93340446,93343161
"BXD","BxD39","9",97175454,97221523
"BXD","BxD39","9",111334000,111358448
"BXD","BxD40","1",76673740,78483337
"BXD","BxD40","1",94241068,94252429
"BXD","BxD40","1",163895344,163912110
"BXD","BxD40","1",168231509,168249728
"BXD","BxD40","13",10360372,16195770
"BXD","BxD40","13",83917882,84118149
"BXD","BxD40","13",91507590,91589868
"BXD","BxD40","15",55326291,62055347
"BXD","BxD40","15",94975462,95004097
"BXD","BxD40","16",26422256,27062966
"BXD","BxD40","16",45681216,45695904
"BXD","BxD40","16",69257481,69312720
"BXD","BxD40","17",27585675,27603102
"BXD","BxD40","17",91986317,92060286
"BXD","BxD40","18",56776576,56922937
"BXD","BxD40","3",19379870,19395215
"BXD","BxD40","3",38845786,39184903
"BXD","BxD40","4",95657483,96563853
"BXD","BxD40","4",137764064,137798467
"BXD","BxD40","5",25356858,27611827
"BXD","BxD40","5",132517363,132532218
"BXD","BxD40","6",11209413,11359407
"BXD","BxD40","6",52148874,52334609
"BXD","BxD40","6",94809228,94960267
"BXD","BxD40","7",5963093,10935936
"BXD","BxD40","7",127394843,136179207
"BXD","BxD40","8",42463227,44456509
"BXD","BxD40","8",79990796,82984005
"BXD","BxD40","9",29752643,31141712
"BXD","BxD40","X",76792465,77204178
"BXD","BxD40","X",89415447,89931007
